,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,XVAR,YVAR,ZVAR,XMFCC0,XMFCC1,XMFCC2,XMFCC3,XMFCC4,XMFCC5,XMFCC6,XMFCC7,XMFCC8,XMFCC9,XMFCC10,XMFCC11,XMFCC12,YMFCC0,YMFCC1,YMFCC2,YMFCC3,YMFCC4,YMFCC5,YMFCC6,YMFCC7,YMFCC8,YMFCC9,YMFCC10,YMFCC11,YMFCC12,ZMFCC0,ZMFCC1,ZMFCC2,ZMFCC3,ZMFCC4,ZMFCC5,ZMFCC6,ZMFCC7,ZMFCC8,ZMFCC9,ZMFCC10,ZMFCC11,ZMFCC12,XYCOS,XZCOS,YZCOS,XYCOR,XZCOR,YZCOR,RESULTANT
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.375,0.0,0.0,0.0,0.0,0.0,-0.48643081722080556,-0.4327179633480732,0.4596751677593892,0.3529416368296453,0.3511236149185653,0.27989075144508674,0.03255326202995803,0.024699613310676105,0.04199499796965558,0.0411612,0.0358093,0.0377134,0.202882,0.189234,0.194199,0.28575,0.403895,0.403246,0.402165,0.400654,0.398714,0.396346,0.393555,0.390342,0.38671,0.382665,0.37821,0.37335,0.279339,0.394833,0.394199,0.393142,0.391665,0.389768,0.387454,0.384725,0.381584,0.378034,0.374079,0.369724,0.364973,0.247402,0.349692,0.349131,0.348195,0.346887,0.345207,0.343157,0.34074,0.337958,0.334814,0.331312,0.327455,0.323247,0.990247,-0.98278,-0.988457,-0.127086,0.57087,0.159287,0.4131471092511736
1,0.23,0.25,0.21,0.175,0.125,0.01,0.0,0.0,0.0,0.0,0.805,0.165,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.185,0.18,0.22,0.085,0.02,0.01,0.0,0.0,0.0,0.008570049265961924,-0.7222516685560701,-0.0623994647103563,0.26642079656694906,0.21486154944827107,0.200735838150289,0.21919621247786966,0.33329876767865985,0.3979770386503747,0.299451,0.413778,0.400149,0.547222,0.643256,0.632573,0.463718,0.655445,0.654392,0.652638,0.650186,0.647037,0.643195,0.638665,0.633451,0.627558,0.620993,0.613764,0.605877,0.516728,0.730372,0.729198,0.727244,0.724511,0.721002,0.716722,0.711673,0.705863,0.699297,0.691982,0.683925,0.675137,0.492294,0.695836,0.694719,0.692857,0.690253,0.68691,0.682832,0.678022,0.672486,0.666231,0.659262,0.651586,0.643213,-0.00187833,0.307179,0.236521,0.0367006,0.312089,0.269811,0.5176571697567254
2,0.0,0.15,0.83,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.45,0.515,0.015,0.0,0.0,0.0,0.15,0.71,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.06716898142417416,0.7461324784720605,0.10609325207713562,0.41956591209980887,0.27672141721762766,0.2450364161849711,0.04045122703251089,0.030180834124998328,0.09055806785041899,0.0601402,0.0559628,0.0913924,0.245235,0.236564,0.302312,0.216158,0.30553,0.305039,0.304221,0.303078,0.30161,0.29982,0.297708,0.295277,0.29253,0.28947,0.2861,0.282424,0.357907,0.505887,0.505074,0.50372,0.501827,0.499397,0.496432,0.492935,0.488911,0.484363,0.479296,0.473716,0.467629,0.236522,0.334313,0.333776,0.332881,0.33163,0.330024,0.328065,0.325754,0.323094,0.320089,0.316741,0.313053,0.30903,0.711919,0.220726,0.620644,0.395697,-0.414465,-0.432223,0.43866309074969007
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.79,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30553973873360896,0.6563750478607197,-0.2549894578748231,0.2488916280252783,0.21189442281554516,0.1943393063583815,0.006076413524212425,0.002141141603221965,0.013697995496326923,0.007652,0.00295669,0.0125943,0.0874757,0.0543755,0.112224,0.197877,0.279691,0.279241,0.278493,0.277446,0.276103,0.274463,0.27253,0.270305,0.267791,0.264989,0.261904,0.258539,0.326726,0.461813,0.461072,0.459836,0.458108,0.455889,0.453182,0.44999,0.446317,0.442165,0.437539,0.432445,0.426889,0.167861,0.237264,0.236883,0.236248,0.23536,0.23422,0.23283,0.23119,0.229302,0.227169,0.224793,0.222176,0.219321,0.99949,-0.995809,-0.997747,-0.515755,0.771046,-0.0377027,0.4257958358705933
4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.985,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.19083256999975243,-0.19241811124708144,0.826562304441171,0.2957536864210574,0.20863415420765277,0.2422826589595376,0.003162567717208957,0.0019517173555267137,0.0028078371294621434,0.00409822,0.0025777,0.00276487,0.0640173,0.050771,0.052582,0.134614,0.190271,0.189965,0.189456,0.188744,0.18783,0.186715,0.1854,0.183886,0.182175,0.18027,0.178171,0.175881,0.151161,0.21366,0.213317,0.212745,0.211946,0.210919,0.209667,0.20819,0.20649,0.204569,0.202429,0.200073,0.197502,0.323945,0.457882,0.457146,0.455921,0.454208,0.452008,0.449324,0.44616,0.442517,0.4384,0.433815,0.428764,0.423254,0.999763,-0.999621,-0.999866,0.500797,0.475782,0.349231,0.39964370392443926
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0,0.0,-0.4529299631124204,0.1304206488036697,0.7181180140369118,0.3244154878597562,0.3385697666382548,0.2527219653179191,0.006494546153795148,0.01137201118589186,0.00818022075381151,0.00850666,0.014729,0.0083136,0.0922316,0.121363,0.0911789,0.261954,0.370261,0.369666,0.368676,0.36729,0.365511,0.363341,0.360782,0.357836,0.354508,0.350799,0.346715,0.34226,0.111519,0.157627,0.157374,0.156952,0.156362,0.155605,0.154681,0.153591,0.152337,0.15092,0.149341,0.147603,0.145706,0.303685,0.429245,0.428556,0.427407,0.425801,0.423739,0.421223,0.418256,0.414841,0.410982,0.406683,0.401948,0.396783,-0.993388,-0.999463,0.991608,-0.283114,0.501356,-0.616205,0.40707409662749566
6,0.08,0.14,0.3,0.2,0.13,0.1,0.04,0.005,0.005,0.0,0.945,0.04,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.305,0.245,0.145,0.03,0.005,0.0,0.0,0.0,0.0,0.2362983685292006,-0.6905644937274303,-0.04797928159508612,0.43853182289526715,0.3604125872514916,0.2905387283236994,0.21714132258257024,0.22526191846073565,0.22802152165085457,0.292638,0.346187,0.218894,0.540961,0.588377,0.467861,0.444421,0.62817,0.627161,0.62548,0.623129,0.620112,0.61643,0.612088,0.607091,0.601443,0.595152,0.588223,0.580664,0.484299,0.684536,0.683436,0.681605,0.679043,0.675755,0.671743,0.667011,0.661565,0.655411,0.648555,0.641005,0.632768,0.413313,0.5842,0.583262,0.581698,0.579512,0.576706,0.573282,0.569244,0.564596,0.559344,0.553493,0.547049,0.54002,-0.570548,-0.280937,0.0850405,-0.176718,-0.234639,-0.119135,0.470414469507534
7,0.05,0.56,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.605,0.37,0.01,0.0,0.0,0.0,0.035,0.71,0.245,0.01,0.0,0.0,0.0,0.0,0.0,-0.05858836927190355,0.73530807288343,0.17836698148629523,0.36149165541664224,0.3437507198967956,0.2607878612716763,0.0630792183594035,0.039470543372091466,0.09341245524013439,0.0753541,0.0652306,0.0890511,0.274507,0.255403,0.298414,0.184109,0.26023,0.259812,0.259116,0.258142,0.256892,0.255367,0.253568,0.251498,0.249158,0.246552,0.243682,0.24055,0.355588,0.502608,0.5018,0.500456,0.498575,0.49616,0.493214,0.48974,0.485742,0.481223,0.476189,0.470646,0.464598,0.258189,0.364939,0.364353,0.363376,0.362011,0.360257,0.358118,0.355596,0.352693,0.349412,0.345757,0.341731,0.33734,-0.547395,-0.445253,0.802784,0.0589881,0.0283871,-0.390601,0.4379418611179491
8,0.92,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.25,0.53,0.095,0.01,0.005,0.0,0.57,0.395,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3824565312471633,0.5881703316090962,-0.3523611472142795,0.26780797349559454,0.24038275472828216,0.30507398843930633,0.07627759248330693,0.1075317446512437,0.1694728487577984,0.122514,0.155569,0.152362,0.350021,0.394422,0.390336,0.369541,0.52233,0.521491,0.520093,0.518139,0.515629,0.512568,0.508958,0.504802,0.500106,0.494875,0.489114,0.482828,0.408765,0.577771,0.576843,0.575297,0.573135,0.570359,0.566973,0.562979,0.558383,0.553188,0.547402,0.541029,0.534077,0.340563,0.481372,0.480598,0.47931,0.477509,0.475197,0.472375,0.469048,0.465218,0.460891,0.456069,0.45076,0.444968,-0.880477,0.845239,-0.733592,0.225225,0.214198,0.700326,0.4458106059624528
9,0.62,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.635,0.325,0.015,0.0,0.0,0.0,0.0,0.0,-0.24401175121101842,-0.6877063641618931,0.1999942234930537,0.3636373122550266,0.2097209104102836,0.28901734104046245,0.0661517395945919,0.0365074193505225,0.08230850160581787,0.088807,0.0518978,0.0830152,0.298005,0.227811,0.288124,0.314058,0.443908,0.443195,0.442007,0.440346,0.438213,0.435611,0.432543,0.429012,0.425021,0.420575,0.415678,0.410337,0.355002,0.50178,0.500974,0.499631,0.497753,0.495343,0.492402,0.488934,0.484942,0.48043,0.475405,0.46987,0.463832,0.266947,0.377318,0.376712,0.375702,0.37429,0.372478,0.370266,0.367658,0.364656,0.361264,0.357485,0.353323,0.348783,0.912115,-0.88056,-0.856275,-0.171704,-0.412056,0.293375,0.43152680426173295
10,0.035,0.125,0.49,0.315,0.025,0.005,0.005,0.0,0.0,0.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.455,0.305,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.14865034370641778,-0.6566520769675448,-0.10403874110658617,0.35507294581075177,0.34914994586376097,0.2952664739884393,0.10097472996001619,0.15645262721275943,0.14750821366606373,0.151265,0.252533,0.150147,0.388928,0.502526,0.387488,0.352143,0.497738,0.496939,0.495607,0.493744,0.491353,0.488436,0.484995,0.481036,0.476561,0.471576,0.466086,0.460096,0.45474,0.642755,0.641722,0.640002,0.637597,0.634509,0.630742,0.626299,0.621186,0.615407,0.60897,0.60188,0.594146,0.348243,0.492226,0.491436,0.490119,0.488277,0.485912,0.483027,0.479625,0.475709,0.471284,0.466354,0.460924,0.455002,-0.620407,-0.397841,0.34717,-0.0833049,-0.15504,-0.215908,0.4116523932299427
